Confidence Threshold,Precision,Recall
0.0,0.52,1.0
5.0,0.6756756756756757,0.9615384615384616
10.0,0.7575757575757576,0.9615384615384616
15.0,0.78125,0.9615384615384616
20.0,0.8064516129032258,0.9615384615384616
25.0,0.8333333333333334,0.9615384615384616
30.0,0.8333333333333334,0.9615384615384616
35.0,0.8333333333333334,0.9615384615384616
40.0,0.8928571428571429,0.9615384615384616
45.0,0.9259259259259259,0.9615384615384616
50.0,1.0,0.8846153846153846
55.0,1.0,0.8846153846153846
60.0,1.0,0.8846153846153846
65.0,1.0,0.8076923076923077
70.0,1.0,0.7692307692307693
75.0,1.0,0.7692307692307693
80.0,1.0,0.5769230769230769
85.0,1.0,0.038461538461538464
90.0,0.0,0.0
95.0,0.0,0.0
100.0,0.0,0.0
